Activity Number,ISIC Code,License Type,Activity Name,Description
AM-01946,1073901,Industrial,Manufacture of Sweets,Manufacture of Sweets
AM-01947,1040201,Industrial,Animal Oil and Fat Manufacturing,Manufacture of crude and refined oils and fats from animal materials and other edible animal fats
AM-01948,1073102,Industrial,Confectionery from cocoa and chocolate,"Manufacture sweets that include cocoa and chocolate, including coating nuts, biscuits or fruits with chocolate or cocoa, and this activity also includes the production of sweets filled with cocoa or chocolate."
AM-01949,1040102,Industrial,Vegetable Gee Manufacturing,"Hydrogenate (freeze) vegetable oils and fats, produce vegetable margarine, and produce industrial butter."
AM-01950,1079002,Industrial,Salt Refining,Refine table salt
AM-01951,1920014,Services,Grease and Lubricants Packaging,Fill in greases and lubricants
AM-01952,1079003,Industrial,Ice Manufacturing,"Producing on blocks, and tubular types to use in food storage and processing, chemical manufacturing, concrete mixing."
AM-01953,1050001,Industrial,Milk Packing,"Manufacture fresh, pasteurized, sterilized, homogeneous, and / or high-temperature liquid milk, such as milk and yogurt for milk prepared with fruit flavors, etc., from fresh milk"
AM-01954,1079004,Industrial,Tea Blending and Packaging,Blending different types of tea to produce specially flavored brands and then pack for final consumption.
AM-01955,8292003,Services,Re-packaging and Wrapping Services,"Re-packaging of goods and goods that are in the form of bulk containers manufactured in other places by packing them in consumer or commercial packages in preparation for selling them to the final consumer or preparing them for export.Except for restricted substances (food, chemical, health, pharmaceutical, cosmetic tobbaco )"
AM-01956,1079006,Industrial,Herbs Packaging,"Pack herbal plants used to prepare drinks and flavors or as foodstuffs such as thyme, star anise, hibiscus, dried lemon, saffron, etc. in commercial packages."
AM-01957,1050002,Industrial,Butter Manufacturing,Manufacturing butter by pasteurizing and churning cream of fresh and fermented milk.
AM-01958,1079007,Industrial,Nuts Roasting and Packaging,"Roast nuts such as peanuts, pistachios, cashews, almonds, etc., salting them, and packing them in sealed packages or bags"
AM-01959,1050003,Industrial,Cheese Manufacturing,"Manufacturing cheese from high quality fresh milk, including pasteurizing, purifying and the renneting."
AM-01960,1079008,Services,Salt Packaging,Fill in salt
AM-01961,1050004,Industrial,Yogurt Manufacturing,Manufacturing yogurt by produced by bacterial fermentation of milk then sugar and fruits and other materials are added.
AM-01962,1079009,Industrial,Spices Packaging,"Re-pack dried or powdered spices and spices, whether in their original condition or mixed in bags or consumer packages that are sealed so that they are suitable for final use"
AM-01963,1050005,Industrial,Cream of Milk Manufacturing,Manufacture cream
AM-01964,1079010,Services,Rose Water Bottling,Fill rose water
AM-01965,1050006,Industrial,Ice Cream Manufacturing,"Manufacturing ice cream and iced cakes and sweets, which use ice cream in processing."
AM-01966,1079022,Industrial,Soup Manufacturing,"Manufacture soup (soup) from meat or vegetables and packed in metal or plastic containers for immediate use. It also includes making soup powder prepared for cooking, as well as making soup flavorings and creams used in its manufacture, cooking and preparation."
AM-01967,1061001,Industrial,Grinding Grains and Crops,Facilities that mill grains and cereals
AM-01968,1079011,Industrial,Baby Food Manufacturing,"Manufacture infant food such as liquid or powdered milk, drinks, juices, types of biscuits, fruit paste and other foods."
AM-01969,1061002,Industrial,Flour Blending and Preparing,Mix wheat flour and prepare it to produce different types and varieties of products for use in food production or food preparation.
AM-01970,1079012,Industrial,Flavors and Fragrances Manufacturing (Food Additions),"Manufacture materials, flavorings, flavorings, and fruit extracts that are used in the manufacture of food products. It also includes the manufacture of synthetic concentrates and aroma supplements that are used in the manufacture of aromatic materials and detergents."
AM-01971,1079017,Industrial,Vinegar Manufacturing and Bottling,"Produce vinegar of all kinds from salt, fruits or other chemical compounds, and this activity includes the production and repackaging of vinegar."
AM-01972,1030010,Services,Fruit Flavored Drinks Manufacturing,"Produce dried mixes for the preparation of juices and ice cream made from natural ingredients and materials that are included in their composition and which are mixed and packaged according to the demand of consumers or producers of juices and ice cream, their shops, restaurants, etc."
AM-01973,1079014,Industrial,Egg Products Manufacturing (Liquid Pasteurized ),"Produce, process, prepare and package egg liquid in economical sizes for use by consumers such as restaurants, hotels and ready-to-eat food preparation companies."
AM-01974,1104201,Services,Mineral Water Bottling,"Bottling natural spring water and mineral water in consumer containers, including water purification, filtering, sterilization and bottling, so that these operations are carried out on site at the places of springs and wells from which water is extracted,"
AM-01975,1104203,Industrial,Carbonated Water Manufacturing,Adding carbon gas to mineral water and then bottling it in sealed bottles or containers.
AM-01976,1104204,Industrial,Soft Drinks Manufacturing,"Manufacture soft drinks and soft drinks flavored with spirits or fruit extracts of flavored and sweetened, such as sweetened lemonade, sweetened orange, cola, tonic water, and this activity does not include the production of fruit and vegetable juice,"
AM-01977,1104902,Industrial,Fruit Juice Powdered Manufacturing,Manufacturing fruit drinks
AM-01980,1410111,Industrial,Protective Garments and Vest Manufacturing,"Various clothing such as jackets, coats, gloves, pants and others that are used to prevent some external damage, such as jackets used against the penetration of bullets, clothes used against radiation, heat, moisture penetration, rain protection, or otherwise."
AM-01981,144002,Services,Production of raw wool,Production of raw wool resulting from sheep breeding without any industrial intervention on it.
AM-01982,1410112,Industrial,Sports Wears Manufacturing,Sports Wears Manufacturing
AM-01983,1313001,Industrial,Textile Dyeing and Processing,"Prepare fabrics and textiles before knitting them, such as cracking, crumbling, waxing clothes against water, lining them, treating them with rubber, or impregnating them."
AM-01984,1410113,Industrial,Formal Wears Manufacturing,Formal Wears Manufacturing
AM-01985,1311002,Industrial,Sewing Yarns Manufacturing,"Manufacture sewing threads and prepare them for use in the purposes of making ready-made garments from natural raw materials such as silk, wool or other fibers, and this activity does not include the manufacture of textile fabrics impregnated, lined, covered or fitted with rubber, if rubber is the main ingredient."
AM-01986,1410114,Industrial,Jackets and Overcoats Manufacturing,Jackets and Overcoats Manufacturing
AM-01987,1311005,Industrial,Lace and Crochet Manufacturing,"Manufacture the operations of knitting ribbons and weaving them from threads and natural or synthetic fibers, as well as the manufacture of other similar knitted such as trimmings, laces, braids, hoops and knitted belts, as well as ready-made clothing industry supplies such as cards, tags, woven drawings and others."
AM-01988,1410115,Industrial,Gloves Manufacturing,"Manufacture of gloves made of fabrics such as cotton, wool or synthetic fibers, as well as gloves made of leather or rubber and this does not include the repair of clothing,"
AM-01989,1392001,Industrial,"Tent, Awnings and Tarpaulin Manufacturing","Making tents and awnings to use as shade from the sun in or protecting from rain in shops and buildings, also, covers and tarpaulin used to cover goods stored in open air or transported in vehicles."
AM-01991,1392002,Industrial,Bed Sheets and Household Linen Manufacturing,"Manufacture bedspreads that are made by cutting and detailing, such as bed linen, blankets, linens and curtains, as well as making tablecloths, small tables, etc. This does not include making garments from knitwear and crochet,"
AM-01992,1410108,Industrial,Garments Manufacturing,"Manufacture ready-made garments from natural raw materials such as: cotton, wool and silk, whether they are knitted or woven. It also includes any type of textiles for which separate activities have not been designated for use in the garment industry. This activity does not include the manufacture of impregnated or lined textile fabrics. covered or fitted with rubber."
AM-01993,1410116,Industrial,Socks Manufacturing,"Manufacturing men, ladies and sport socks from wool, cotton, nylon and polyester to use in protecting the foot and absorb sweat."
AM-01994,1511001,Services,Leather Tanning and Dressing,"Tanning, dyeing, preparing and polishing of leather and leather to be ready for manufacture to other products"
AM-01995,1392004,Industrial,Towels Manufacturing,"Manufacturing the absorbent textile towels are made from cotton, rayon and are used for drying or wiping."
AM-01996,1512001,Industrial,Suitcases Manufacturing,"Manufacture travel bags from natural leather and its alternatives, as well as the manufacture of bags that are composed of parts of leather in addition to bags that are made entirely of other alternative materials such as plastic, aluminum or textile,"
AM-01997,1392005,Industrial,Auto Upholstery manufacturing,"The manufacture of all types of carpets used in cars, such as cutting floors, car seat sets, or dressing other parts of the car, such as the steering wheel or movement arm, and so on, whether from cloth, leather, plastic, or other natural or synthetic fibers ..."
AM-01998,1512002,Industrial,"Hand Bags, Wallets, and Belts Manufacturing","The manufacture of handbags, wallets, belts made of leather and its alternatives from plastic and cloth."
AM-01999,1392007,Industrial,Fabric Textile Embroidering,"Manufacture knitting and crocheting cotton, silk and wool fabrics with colored or golden stripes to use in producing household linens and women dress."
AM-02000,1520001,Industrial,Footwear Manufacturing,"manufacturing men and women footwear for different purposes and of any material, involving whole or parts of the footwear whether by the traditional manual process or mechanical."
AM-02001,1392009,Industrial,Flags Manufacturing,Manufacture of formal and informal flags and banners with different sizes for different purposes by means of cutting and weaving or by color printing or others. It also includes the manufacture of logos and badges as well as ceremonial banners which are hung at celebrations and similar occasions. This also includes the manufacture of flags woven from natural or artificial fibers or from plastic and the like.
AM-02002,1520002,Industrial,Sandals Manufacturing,Sandals Manufacturing
AM-02003,1392008,Industrial,Pillow and Cushions Manufacturing,Manufacturing pillows and cushions for bedrooms and sitting rooms.
AM-02004,1610008,Industrial,Cutting and Sawmilling of Wood,Cutting and Sawmilling of Wood
AM-02005,1393001,Industrial,Carpets Manufacturing,"Manufacture of carpets of various fibers, which means floor carpets (rugs) as well as decorative pieces, and this does not include the manufacture of handmade carpets Manufacture of mats and leg mops from braided materials,"
AM-02006,1610001,Industrial,Wood Boards Manufacturing,"Manufacture of plywood panels and wood panels from plywood chips (plywood) or from particleboard made from crumbled and compressed wood waste, wood pulp (MDF) or other types of wood panels."
AM-02007,1393002,Industrial,Mats and Rugs Manufacturing,"Manufacture of mats and rugs of different types of fibers or yarn, as well as pedals and walkers of jute or carpet scraps."
AM-02008,1623005,Industrial,Wooden Podiums Manufacturing,"Manufacture pallets, pallets and other loading pallets made of wood for various purposes and includes the manufacture of pieces and wooden panels that are used as a ground base to carry equipment or transported goods, containers, etc. of different sizes and uses in factories or in storage and shipping holds."
AM-02009,1394002,Industrial,Nets Manufacturing,Nets Manufacturing
AM-02010,1622001,Industrial,Wooden Doors and Windows,Wooden Doors and Windows
AM-02011,1394001,Industrial,Ropes Manufacturing,"Manufacture various types of ropes and similar various fiber raw materials such as cotton, jute, linen, paper, plastic, hemp and other fibers, including glass fibers, including fiberglass, and includes the processes of twisting, dyeing and packaging fibers"
AM-02012,1622004,Industrial,Industry buildings and prefabricated wooden parts.,"Manufacture of prefabricated buildings made wholly or parts thereof from wood, provided that they are manufactured using the method of preparation and installation on the site in stages or installed entirely at once. This activity does not include establishments specialized in the manufacture of buildings made of concrete or steel. This does not include the manufacture of furniture"
AM-02013,1313003,Services,Silk Screening,"Silk-screen printing on textiles and wearing apparel by transferring a multicolored image or design image from a screen to textile articles through lithographic, gravure, screen or flexographic printing."
AM-02014,1622005,Industrial,Internal Design Woodworks Manufacturing,"The manufacture of wooden products necessary for interior design (decoration) works such as wooden barriers (mashrabiyat), wooden partitions, stair barriers, balconies, wooden soles, wooden arches and other similar wooden products except furniture and fixtures of all kinds."
AM-02016,1623003,Industrial,Wooden Boxes Manufacturing,Wooden Boxes Manufacturing
AM-02017,1410101,Industrial,Mens Underwear Manufacturing,"Manufacture of woven, knitted or crocheted fabric to be worn under other clothes, whether over the waist like T-shirts or below the waist like pants."
AM-02018,1629104,Industrial,"Fronds, Hay, and Bamboo Products Manufacturing","Fronds, Hay, and Bamboo Products Manufacturing"
AM-02019,1410102,Industrial,Mens Garments Manufacturing,"Manufacture men's outerwear made of cotton, wool, silk or other fibers and knitted by the method of knitting (knots) or by the method of weaving (seam), and this includes the manufacture of shirts of all kinds, pajamas, home, beachwear, bathroom, pants (pants), shorts, ready-made men's suits, neckties, etc.,"
AM-02020,1701002,Industrial,Paper and Carton Manufacturing,"Manufacture of journal, writing, drawing, typing, and wrapping paper, made of wood, paper residues or fibers pulp."
AM-02021,1410104,Industrial,Children Wears Manufacturing,"Manufacturing children’s swaddling clothes, nappies, night wear, party clothes, shirts, trousers and others."
AM-02022,1702002,Industrial,Carton Boxes and Containers Manufacturing,"Manufacture of different sizes and types of boxes and containers made of corrugated or non-corrugated carton, used for wrapping and packaging different products in commercial packs in order to facilitate their transportation, shipping and storing."
AM-02023,1410105,Industrial,Children Underwear Manufacturing,"Manufacturing children underwear’s made of woven, knitted or crocheted fabric."
AM-02024,1702003,Industrial,Paper Boxes and Packages Manufacturing,"Manufacture and printing of boxes and packing bags made carton paper, water proofing plastic or wax coated paper, or paper lined with tin, aluminum or other materials which are used for packing of various industrial products."
AM-02025,1410106,Industrial,Ladies Garments Manufacturing,"Manufacture shirts, women's pants, party and evening dresses, pregnant clothes, wedding dresses, weddings, sleepwear, home, beachwear, bathroom, scarves, and others."
AM-02026,1709019,Industrial,Manufacture of Packaging and wrapping matrials,"Manufacture of all materials used in the packaging and packaging of industrial products, such as packages, plain and waxed paper envelopes, nylon foils and printed plastic foils, as well as metal packaging materials"
AM-02027,1410107,Industrial,Ladies Underwear Manufacturing,"Manufacturing women undergarments made of woven, knitted or crocheted fabric to be worn under other clothes, whether over or below the waist."
AM-02028,1702004,Industrial,Paper Bags Manufacturing,Paper Bags Manufacturing
AM-02029,1410117,Industrial,Caps and Headwear Manufacturing,"Manufacture of different types of headwear for men and boys such as the Shemagh (ghuttar), caps, hoods, women's head and face coverings such as hijab, niqab, etc., and also includes the manufacture of hats in various forms made of textiles."
AM-02030,1702005,Industrial,Files and Box Files Manufacturing,"Manufacture of means of preserving papers such as files, files, boxes for keeping documents and official documents made of paper or cardboard, as well as printing and manufacturing paper portfolios"
AM-02031,1410109,Industrial,Ladies Arabic Gowns Manufacturing,"The tailoring, sewing, embroidering and stitching of ladies' gowns, such as long Arab traditional dresses Jellabiya and shawls. This also includes cutting, sewing and embroidering of ladies' head and face veils and covers."
AM-02033,1811006,Industrial,Cards and Envelops Printing,"Printing business cards, invitation cards to official events and celebrations, season's greeting cards and weddings congratulations cards. This also includes printing the envelopes."
AM-02034,1709008,Industrial,Tissues and Napkins Manufacturing,"Establishments or factories that manufacture napkins and paper towels of all kinds, such as facial tissues, kitchen towels, dining tissues and toilet paper."
AM-02035,1709009,Industrial,Diapers Manufacturing,Diapers Manufacturing
AM-02036,1709010,Industrial,Sanitary Napkins Manufacturing,Sanitary Napkins Manufacturing
AM-02037,1709013,Industrial,Adhesive Cards Manufacturing,"Manufacture labels, brands and adhesive brands, including re-cutting, printing and processing"
AM-02038,1709014,Industrial,Paper Stationery Manufacturing,"Manufacture products that are used for office purposes, such as papers and papers, which includes other paper products that are used for office purposes, such as papers and papers in computers used in duplicating machines, and scrolls in calculators and other securities."
AM-02042,2011010,Industrial,Composed Industrial Chemicals Manufacturing,"Manufacture of chemicals of compounds, salts and various materials, which are in the form of powders, crystals, solutions or others, which are directly used in the processes of conducting tests, analysis and chemical experiments, or in water purification and sterilization, or in the production of gases, fertilizers or other industrial products other than synthetic resins."
AM-02044,2029005,Industrial,Synthetic Resins Manufacturing,"Manufacturing synthetic resins to use in producing chemical products such as paints, dyes, perfumes, detergents, adhesives, ink, and other resins based chemical products."
AM-02045,1811001,Industrial,Commercial Publications Printing,"The printing commercial advertising posters, accounting books, invoices, correspondence pads, official document forms, such as passports, paper money, Travel cheques, receipt and cheque pads, as well as the printing of catalogues, calendars, brochures and others"
AM-02046,1920016,Industrial,Chlorinated Paraffin Oil Manufacturing,Chlorinated Paraffin Oil Manufacturing
AM-02048,2012007,Industrial,Chemical Fertilizers Manufacturing,Chemical Fertilizers Manufacturing
AM-02049,1811004,Industrial,Books Printing,"Conducting books printing as well as handling the related technical related services such as designing, color separation, binding."
AM-02050,2012001,Industrial,Organic Fertilizers Manufacturing,Organic Fertilizers Manufacturing
AM-02052,2220044,Industrial,Plastic Cubes Manufacturing,Plastic Cubes Manufacturing
AM-02056,2013002,Industrial,Crude Fiber Glass Manufacturing,"Producing fiber glass from source materials and forming in panels, grids, or textures and complementary chemicals useable in manufacturing fiber glass products for constructions"
AM-02058,2021001,Industrial,House Pesticides Manufacturing,House Pesticides Manufacturing
AM-02060,2021002,Industrial,Agricultural Pests Pesticides Manufacturing,"Manufacture of materials whose purpose is to prevent, eliminate or control agricultural pests, including disease vectors of plant or animal species. Pests mean every animal, plant or micro-organism harmful or destructive, such as insects, spiders, nematodes, bacteria, etc."
AM-02061,1812001,Industrial,Bookbinding,Bookbinding
AM-02062,2022001,Industrial,Paint Manufacturing,"Manufacturing dyes and paints for buildings, constructions and decor, as well as for autos and metals, also, anti-corrosion and anti-erosion powdered paints for coating metals by anodizing. other materials used in treating and processing dyes and paints such as thinners, thickeners, basic dyes and others."
AM-02064,2023018,Industrial,Cleaning and Polishing Materials Manufacturing,Manufacture of all kinds of cleaning and polishing materials
AM-02065,1812003,Services,Colour Separation Services,"Providing color analysis and sorting services for photographs, drawings and other similar materials for printing purposes, as well as preparing chips, determining the proportions and degrees of colors used, as well as any other services associated with them."
AM-02066,2022002,Industrial,Anti Corrosion Materials Manufacturing,"Manufacturing metals and wood anti-corrosion and anti-erosion, as well as constructions and equipment anti-thermal element."
AM-02067,1920001,Industrial,Fuel Manufacturing,"Producing refined petroleum by extracting from crude oil in refineries, including gasoline, diesel, naphtha, kerosene, fuel oil, it involves also producing biofuel vegetable oils or animal fats or agricultural products."
AM-02068,2022003,Industrial,Insulation Materials Manufacturing,"Manufacture of insulating materials and supplies that are used in insulation from moisture or water leakage and from heat, whether natural such as the heat of the sun or generated by engines, as well as insulating materials from sound and noise and from vibrations and radiation effects and others, and includes these materials used in buildings or machinery and equipment such as furnaces, vehicles ."
AM-02070,2029007,Industrial,Adhesive Materials Manufacturing,"Manufacturing adhesive materials for sticking paper, glass, metal, plastic or wood pieces, to use in printing, lamination, packaging, in construction for fixing ceramic, slabs and maquette, or wall-paper...etc, also producing adhesive tapes in paper, plastic, fabrics."
AM-02072,2022007,Industrial,Manufacture of printing ink,"Manufacturing printing inks either being in powder, paste or as liquid, in addition to inject cartridges used in fax machines, photo copiers and computer printers."
AM-02074,2100101,Industrial,Medicine Manufacturing,"The pharmaceutical industry, which invent new medicines and sell them in the market and have the right to invent and invent them. tablet preparation or other operations, filling or refilling"
AM-02075,1920003,Services,Natural Gas Bottling,Facilities to fill in petroleum gas
AM-02076,2100102,Industrial,Vaccines and Inoculants Manufacturing,Vaccines and Inoculants Manufacturing
AM-02077,1920005,Industrial,Asphalt and Paving Materials,Asphalt and Paving Materials
AM-02078,2100105,Industrial,Medicinal Chemicals Manufacturing,Medicinal Chemicals Manufacturing
AM-02079,1920006,Industrial,Lubricants Manufacturing,Lubricants Manufacturing
AM-02080,2100106,Industrial,Veterinary Medicine Manufacturing,Veterinary Medicine Manufacturing
AM-02081,2011017,Industrial,Basic Organic Chemical Acids Manufacturing,"Manufacture the most common organic acids in single or multiple carboxy acids, including acetic acid (vinegar acid), its acidic varieties with the carboxyl group COOH. Its acidic acids contain SO2OH."
AM-02082,2100107,Industrial,Medical and Surgical Requisites Manufacturing,"Manufacture of medical supplies, pharmaceutical materials, chemical and plant pharmaceutical products, and surgical instruments and devices of all kinds that are used in operations."
AM-02086,2023001,Industrial,Soap Manufacturing,"Manufacture of soap used for bathing or for washing hands, and its dry and liquid types, in addition to the manufacture of bath foam."
AM-02088,2023006,Industrial,Detergents & Disinfectants Manufacturing - Import & Export,"Manufacturing disinfectants that are used for the purposes of sterilizing floors, bathrooms, and clothes."
AM-02089,2011005,Industrial,Gas Liquefaction and Bottling Manufacturing,"The conversion of gases like oxygen, carbon dioxide and nitrogen into liquid state for using industrial and medical fields"
AM-02090,2023008,Industrial,Perfumes Manufacturing - Import & Export,"Manufacturing different types of concentrated or light perfumes (toilet water) whether from synthetic or natural fragrant compounds . Also included are after shaves, shaving creams, body lotions, deodorants, clothes and floor cover fragrances. The perfumes concerned could be in liquid, solid or powder forms."
AM-02091,2011006,Industrial,Dry Ice Manufacturing,Dry Ice Manufacturing from CO2
AM-02092,2023007,Industrial,Industrial Detergents Manufacturing,"Manufacture of chemicals used to clean machinery, machinery and equipment such as air conditioners, boilers, elevators, car engines, mechanisms and other machinery and machinery"
AM-02093,2013005,Industrial,Gum and Glue Manufacturing,"Extracting gum and glue from raw materials, for direct use in such original state, or use in producing various chemical compounds, as substances for adhesive and cosmetics."
AM-02094,2023002,Industrial,Powder Detergents Manufacturing and Packaging,"Manufacture soaps and detergents, and cleaning and polishing products"
AM-02095,2023011,Industrial,Deodorants and Bath Salts Manufacturing,Manufacturing Deodorants and Bath Salts Manufacturing
AM-02096,2023003,Industrial,Bleaching Products Manufacturing,Manufacturing chlorine-based bleaches to use as household chemicals to whiten clothes and remove stains.
AM-02097,2023012,Industrial,Cosmetics Manufacturing,"Manufacture of cosmetics and perfumes used in cosmetics such as types of paints, creams, essential oils and powders that are used for the body, as well as types of eyeliners, colors and powders used in facial beautification (make-up)."
AM-02098,2029001,Industrial,Fire Extinguishing Materials Manufacturing,Fire Extinguishing Materials Manufacturing
AM-02102,2029014,Industrial,Coolants Manufacturing,"Manufacturing coolants which are characterized of having high thermal capacity, low viscosity, chemically inert, and causing no corrosion when mixed with water and flown through or around a device to prevent its overheating."
AM-02103,2011008,Industrial,Manufacture of distilled water,Manufacture of distilled water
AM-02104,2310007,Industrial,Glass Sheets and Mirror Manufacturing,Manufacturing Glass Sheets and Mirror
AM-02105,2211003,Industrial,Tyres Rebuilding,"Renew used tires for cars and vehicles and re-dress them so that they become usable again, and this section does not include the following Manufacture of tire pipe repair materials"
AM-02106,2310008,Industrial,Stained Glass Forming,"Manufacture glass panels in a way that cuts colored glass, collects those pieces with each other and forms them to represent paintings, pictures or engineering drawings, fixes glass pieces using lead or any other adhesives, and installs these panels on frames made of wood, aluminum profiles, or other metal sections or reinforced plastic, This activity also includes any other industries related to the formation of stained glass, the manufacture of glass wool and non-woven glass wool products"
AM-02107,2219001,Industrial,Manufacture of rubber products,Manufacture of rubber products
AM-02108,2310009,Industrial,Glass Bottles and Containers Manufacturing,"Manufacturing glass bottles and containers used for bottling liquids, chemical products and others."
AM-02110,2310011,Industrial,Reflective and Insulant Glass Production,Reflective and Insulant Glass Production
AM-02111,2219006,Industrial,"Industry, rubber floors and pedals","Manufacture of covers for the sides of swimming pools, roofs of vehicles, boats, garden floors and playground tracks, and this activity also includes the manufacture of rubber mats for homes or entrances."
AM-02112,2393004,Industrial,Ceramic Ware Manufacturing,"Manufacture of goods and products from china, ceramics and pottery such as utensils and household items, including artifacts and others."
AM-02116,2392005,Industrial,Structural Clay Products Manufacturing,"Manufacturing of building and construction clay products, such as bricks, slabs, ceramic, faience tile, clay pipes and tubes and fittings as well as sanitary and bathroom clay requisites."
AM-02117,2220002,Industrial,Plastic utensils Manufacturing,"Industrial facilities that manufacture containers and household utensils used for preparing or preserving foods, except for utensils and tools used for cleaning."
AM-02121,2220006,Industrial,Plastic Sheets Manufacturing,"Manufacturing plastic sheets for various industries and applications using the techniques of extrusion , molding, casting, depending on material type and size."
AM-02127,2220025,Industrial,"Industry, bottles and plastic bottles","Industrial facilities specialized in the manufacture of bottles, containers and various plastic drums used in industrial purposes from the packaging of various products such as food, liquids, chemicals and others."
AM-02130,2395001,Industrial,Precast Building Manufacturing,"Industrial facilities specialized in the production and manufacture of concrete building parts or the manufacture of entire building pieces and processing them by pre-casting method in the molds, as well as the transportation and installation of these parts at the work site."
AM-02132,2395005,Industrial,Cement Products manufacturing,"Manufacturing cement products such as columns, stair rails, balconies, flower beds, statues, and maquettes by blocks pre-casting, to use in buildings and internal and decorations."
AM-02137,2220033,Industrial,Plastic Building Ware Manufacturing,"Manufacture of works and supplies for buildings and construction projects such as doors, windows, cladding panels, barriers, plastic decorations, grates (mashrabiyat), air vent or sewer covers and other similar works made of plastic materials or the like, or of which plastics represent the largest percentage."
AM-02138,2396003,Industrial,Stone Cutting and Grinding Manufacturing,"Manufacture of stone cutting, such as making plates from some types of rocks, as well as grinding products such as gravel, sandstone, and others that are manufactured separately from the places from which stones are extracted or gravel is collected from."
AM-02139,2220035,Industrial,Plastic Covers Manufacturing,"Manufacturing plastic bottles, barrels and containers used for various industrial purposes and for packing foodstuff and filling liquids, chemical products and others."
AM-02141,2220047,Industrial,Construction Plastic Requirements Manufacturing,"Manufacture of sanitary ware fittings, plastic door handles and knobs, hinges, furniture wheels, wooden or metal fittings, shelving fittings and other fittings used in buildings or for industrial purposes made of plastic or similar materials"
